pc_time,current_mA,voltage1_V,voltage2_V,status,sample_count
2026-08-13 07:34:26.049,0.000,0.000,0.000,0x0005,2468
2026-08-13 07:34:26.562,0.000,0.000,0.000,0x0005,2473
2026-08-13 07:34:27.064,0.000,0.000,0.000,0x0005,2478
2026-08-13 07:34:27.571,0.000,0.000,0.000,0x0005,2483
2026-08-13 07:34:28.077,0.000,0.000,0.000,0x0005,2488
2026-08-13 07:34:28.583,0.000,0.000,0.000,0x0005,2493
2026-08-13 07:34:29.087,0.000,0.000,0.000,0x0005,2498
2026-08-13 07:34:29.592,0.000,0.000,0.000,0x0005,2503
2026-08-13 07:34:30.094,0.000,0.000,0.000,0x0005,2508
2026-08-13 07:34:30.598,0.000,0.000,0.000,0x0005,2513
2026-08-13 07:34:31.101,0.000,0.000,0.000,0x0005,2518
2026-08-13 07:34:31.603,0.000,0.000,0.000,0x0005,2523
2026-08-13 07:34:32.118,0.000,0.000,0.000,0x0005,2529
2026-08-13 07:34:32.622,0.000,0.000,0.000,0x0005,2534
2026-08-13 07:34:33.128,0.000,0.000,0.000,0x0005,2539
2026-08-13 07:34:33.634,0.000,0.000,0.000,0x0005,2544
2026-08-13 07:34:34.140,0.000,0.000,0.000,0x0005,2549
2026-08-13 07:34:34.640,0.000,0.000,0.000,0x0005,2554
2026-08-13 07:34:35.156,0.000,0.000,0.000,0x0005,2559
2026-08-13 07:34:35.658,0.000,0.000,0.000,0x0005,2564
2026-08-13 07:34:36.163,0.000,0.000,0.000,0x0005,2569
2026-08-13 07:34:36.668,0.000,0.000,0.000,0x0005,2574
2026-08-13 07:34:37.174,0.000,0.000,0.000,0x0005,2579
2026-08-13 07:34:37.679,0.000,0.000,0.000,0x0005,2584
2026-08-13 07:34:38.186,0.000,0.000,0.000,0x0005,2589
2026-08-13 07:34:38.689,0.000,0.000,0.000,0x0005,2594
2026-08-13 07:34:39.194,0.000,0.000,0.000,0x0005,2599
2026-08-13 07:34:39.699,0.000,0.000,0.000,0x0005,2604
2026-08-13 07:34:40.202,0.000,0.000,0.000,0x0005,2609
2026-08-13 07:34:40.706,0.000,0.000,0.000,0x0005,2615
2026-08-13 07:34:41.208,0.000,0.000,0.000,0x0005,2620
2026-08-13 07:34:41.722,0.000,0.000,0.000,0x0005,2625
2026-08-13 07:34:42.225,0.000,0.000,0.000,0x0005,2630
2026-08-13 07:34:42.727,0.000,0.000,0.000,0x0005,2635
2026-08-13 07:34:43.229,0.000,0.000,0.000,0x0005,2640
2026-08-13 07:34:43.733,0.000,0.000,0.000,0x0005,2645
2026-08-13 07:34:44.248,0.000,0.000,0.000,0x0005,2650
2026-08-13 07:34:44.764,0.000,0.000,0.000,0x0005,2655
2026-08-13 07:34:45.279,0.000,0.000,0.000,0x0005,2660
2026-08-13 07:34:45.779,0.000,0.000,0.000,0x0005,2665
2026-08-13 07:34:46.281,0.000,0.000,0.000,0x0005,2670
2026-08-13 07:34:46.784,0.000,0.000,0.000,0x0005,2675
2026-08-13 07:34:47.291,0.000,0.000,0.000,0x0005,2680
2026-08-13 07:34:47.792,0.000,0.000,0.000,0x0005,2685
2026-08-13 07:34:48.294,0.000,0.000,0.000,0x0005,2690
2026-08-13 07:34:48.798,0.000,0.000,0.000,0x0005,2695
2026-08-13 07:34:49.301,0.000,0.000,0.000,0x0005,2700
2026-08-13 07:34:49.805,0.000,0.000,0.000,0x0005,2705
2026-08-13 07:34:50.308,0.000,0.000,0.000,0x0005,2711
2026-08-13 07:34:50.816,0.000,0.000,0.000,0x0005,2716
2026-08-13 07:34:51.318,0.000,0.000,0.000,0x0005,2721
2026-08-13 07:34:51.821,0.000,0.000,0.000,0x0005,2726
2026-08-13 07:34:52.328,0.000,0.000,0.000,0x0005,2731
2026-08-13 07:34:52.833,0.000,0.000,0.000,0x0005,2736
2026-08-13 07:34:53.340,0.000,0.000,0.000,0x0005,2741
2026-08-13 07:34:53.842,0.000,0.000,0.000,0x0005,2746
2026-08-13 07:34:54.351,0.000,0.000,0.000,0x0005,2751
2026-08-13 07:34:54.855,0.000,0.000,0.000,0x0005,2756
2026-08-13 07:34:55.356,0.000,0.000,0.000,0x0005,2761
2026-08-13 07:34:55.863,0.000,0.000,0.000,0x0005,2766
2026-08-13 07:34:56.367,0.000,0.000,0.000,0x0005,2771
2026-08-13 07:34:56.871,0.000,0.000,0.000,0x0005,2776
2026-08-13 07:34:57.375,0.000,0.000,0.000,0x0005,2781
2026-08-13 07:34:57.883,0.000,0.000,0.000,0x0005,2786
2026-08-13 07:34:58.386,0.000,0.000,0.000,0x0005,2791
2026-08-13 07:40:53.836,0.000,0.000,0.000,0x0003,51
2026-08-13 07:40:54.347,0.000,0.000,0.000,0x0003,56
2026-08-13 07:40:54.849,0.000,0.000,0.000,0x0003,61
2026-08-13 07:40:55.353,0.000,0.000,0.000,0x0003,66
2026-08-13 07:40:55.859,0.000,0.000,0.000,0x0003,71
2026-08-13 07:40:56.363,0.000,0.000,0.000,0x0003,77
2026-08-13 07:40:56.870,0.000,0.000,0.000,0x0003,82
2026-08-13 07:40:57.375,0.000,0.000,0.000,0x0003,87
2026-08-13 07:40:57.881,0.000,0.000,0.000,0x0003,92
2026-08-13 07:40:58.386,0.000,0.000,0.000,0x0003,97
2026-08-13 07:40:58.891,0.000,0.000,0.000,0x0003,102
2026-08-13 07:40:59.397,0.000,0.000,0.000,0x0003,107
2026-08-13 07:40:59.904,0.000,0.000,0.000,0x0003,112
2026-08-13 07:41:00.409,0.000,0.000,0.000,0x0003,117
2026-08-13 07:41:00.911,0.000,0.000,0.000,0x0003,122
2026-08-13 07:41:01.413,0.000,0.000,0.000,0x0003,127
2026-08-13 07:41:01.921,0.000,0.000,0.000,0x0003,132
2026-08-13 07:41:02.427,0.000,0.000,0.000,0x0003,137
2026-08-13 07:41:02.932,0.000,0.000,0.000,0x0003,142
2026-08-14 16:09:52.706,1.061,0.531,0.531,0x0003,5654
2026-08-14 16:09:53.221,1.061,0.531,0.531,0x0003,5659
2026-08-14 16:09:53.736,1.061,0.531,0.531,0x0003,5664
2026-08-14 16:09:54.252,1.060,0.530,0.530,0x0003,5669
2026-08-14 16:09:54.765,1.061,0.531,0.531,0x0003,5675
2026-08-14 16:09:55.281,1.060,0.530,0.530,0x0003,5680
2026-08-14 16:09:55.796,1.060,0.530,0.530,0x0003,5685
2026-08-14 16:09:56.298,1.060,0.530,0.530,0x0003,5690
2026-08-14 16:09:56.812,1.060,0.530,0.530,0x0003,5695
2026-08-14 16:09:57.324,1.061,0.531,0.531,0x0003,5700
2026-08-14 16:09:57.825,1.060,0.530,0.530,0x0003,5705
2026-08-14 16:09:58.340,1.060,0.530,0.530,0x0003,5710
2026-08-14 16:09:58.840,1.061,0.531,0.531,0x0003,5715
2026-08-14 16:09:59.351,1.061,0.531,0.531,0x0003,5720
2026-08-14 16:09:59.853,1.060,0.530,0.530,0x0003,5725
2026-08-14 16:10:00.368,1.060,0.530,0.530,0x0003,5731
2026-08-14 16:10:00.879,1.060,0.530,0.530,0x0003,5736
2026-08-14 16:10:01.394,1.060,0.530,0.530,0x0003,5741
2026-08-14 16:10:01.908,1.060,0.530,0.530,0x0003,5746
2026-08-14 16:10:02.423,1.060,0.530,0.530,0x0003,5751
2026-08-14 16:10:02.938,1.060,0.530,0.530,0x0003,5756
2026-08-14 16:10:03.453,1.060,0.530,0.530,0x0003,5761
2026-08-14 16:10:03.970,1.060,0.530,0.530,0x0003,5767
2026-08-14 16:10:04.471,1.060,0.530,0.530,0x0003,5772
2026-08-14 16:10:04.983,1.060,0.530,0.530,0x0003,5777
2026-08-14 16:10:05.485,1.060,0.530,0.530,0x0003,5782
2026-08-14 16:10:05.999,1.060,0.530,0.530,0x0003,5787
2026-08-14 16:10:06.512,1.060,0.530,0.530,0x0003,5792
2026-08-14 16:10:07.014,1.060,0.530,0.530,0x0003,5797
2026-08-14 16:10:07.526,1.060,0.530,0.530,0x0003,5802
2026-08-14 16:10:08.042,1.060,0.530,0.530,0x0003,5807
2026-08-14 16:10:08.556,1.060,0.530,0.530,0x0003,5812
2026-08-14 16:10:09.067,1.060,0.530,0.530,0x0003,5818
2026-08-14 16:10:09.582,1.060,0.530,0.530,0x0003,5823
2026-08-14 16:10:10.095,1.060,0.530,0.530,0x0003,5828
2026-08-14 16:10:10.597,1.060,0.530,0.530,0x0003,5833
2026-08-14 16:10:11.112,1.060,0.530,0.530,0x0003,5838
2026-08-14 16:10:11.627,1.060,0.530,0.530,0x0003,5843
2026-08-14 16:10:12.142,1.060,0.530,0.530,0x0003,5848
2026-08-14 16:10:12.642,1.060,0.530,0.530,0x0003,5853
2026-08-14 16:10:13.156,1.060,0.530,0.530,0x0003,5858
2026-08-14 16:10:13.670,1.060,0.530,0.530,0x0003,5864
2026-08-14 16:10:14.183,1.060,0.530,0.530,0x0003,5869
2026-08-14 16:10:14.698,1.060,0.530,0.530,0x0003,5874
2026-08-14 16:10:15.213,1.060,0.530,0.530,0x0003,5879
2026-08-14 16:10:15.714,1.060,0.530,0.530,0x0003,5884
2026-08-14 16:10:16.217,1.060,0.530,0.530,0x0003,5889
2026-08-14 16:10:16.731,1.060,0.530,0.530,0x0003,5894
2026-08-14 16:10:17.243,1.060,0.530,0.530,0x0003,5899
2026-08-14 16:10:17.758,1.060,0.530,0.530,0x0003,5904
2026-08-14 16:10:18.273,1.059,0.529,0.529,0x0003,5910
2026-08-14 16:10:18.775,1.060,0.530,0.530,0x0003,5915
2026-08-14 16:10:19.289,1.059,0.529,0.529,0x0003,5920
2026-08-14 16:10:19.803,1.059,0.529,0.529,0x0003,5925
2026-08-14 16:10:20.320,1.059,0.529,0.529,0x0003,5930
2026-08-14 16:10:20.834,1.059,0.529,0.529,0x0003,5935
2026-08-14 16:10:21.334,1.059,0.529,0.529,0x0003,5940
2026-08-14 16:10:21.850,1.059,0.529,0.529,0x0003,5945
2026-08-14 16:10:22.366,1.059,0.529,0.529,0x0003,5951
2026-08-14 16:10:22.867,1.060,0.530,0.530,0x0003,5956
2026-08-14 16:10:23.383,1.059,0.529,0.529,0x0003,5961
2026-08-14 16:10:23.896,1.059,0.529,0.529,0x0003,5966
2026-08-14 16:10:24.398,1.043,0.521,0.521,0x0003,5970
2026-08-14 16:10:24.913,1.059,0.529,0.529,0x0003,5974
2026-08-14 16:10:25.416,1.059,0.529,0.529,0x0003,5979
2026-08-14 16:10:25.927,1.059,0.529,0.529,0x0003,5984
