File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
bl_core.o,82.776855%,49311,1240,1240,0,0,49311
startup_gd32f450_470.o,13.751657%,8192,464,36,428,0,8192
bl_bsp.o,1.737423%,1035,1519,1408,105,6,1029
usart_app.o,0.861157%,513,0,0,0,0,513
mcu_cmic_gd32f470vet6.o,0.859479%,512,0,0,0,0,512
systick.o,0.006715%,4,118,118,0,0,4
system_gd32f4xx.o,0.006715%,4,554,550,0,4,0
